"Your_github","Instructions"
"acheng-ubc","Please review the hw10 submission of [Bill1111](https://github.com/STAT545-UBC-students/hw10-Bill1111) and [divita95](https://github.com/STAT545-UBC-students/hw10-divita95)."
"aidanh14","Please review the hw10 submission of [rasiimwe](https://github.com/STAT545-UBC-students/hw10-rasiimwe) and [slumnitz](https://github.com/STAT545-UBC-students/hw10-slumnitz)."
"aleurcelay","Please review the hw10 submission of [YuHsiangLo](https://github.com/STAT545-UBC-students/hw10-YuHsiangLo) and [Irissq28](https://github.com/STAT545-UBC-students/hw10-Irissq28)."
"alvin-q","Please review the hw10 submission of [yavyx](https://github.com/STAT545-UBC-students/hw10-yavyx) and [lsloboda](https://github.com/STAT545-UBC-students/hw10-lsloboda)."
"bassamjaved","Please review the hw10 submission of [liuyadong08](https://github.com/STAT545-UBC-students/hw10-liuyadong08) and [patriciata](https://github.com/STAT545-UBC-students/hw10-patriciata)."
"Bill1111","Please review the hw10 submission of [divita95](https://github.com/STAT545-UBC-students/hw10-divita95) and [aleurcelay](https://github.com/STAT545-UBC-students/hw10-aleurcelay)."
"Caroline-Seip","Please review the hw10 submission of [garyzhubc](https://github.com/STAT545-UBC-students/hw10-garyzhubc) and [fjbasedow](https://github.com/STAT545-UBC-students/hw10-fjbasedow)."
"CeciliaLe07","Please review the hw10 submission of [Sukeysun](https://github.com/STAT545-UBC-students/hw10-Sukeysun) and [zeeva85](https://github.com/STAT545-UBC-students/hw10-zeeva85)."
"chenchenguo","Please review the hw10 submission of [tsmith93](https://github.com/STAT545-UBC-students/hw10-tsmith93) and [katiezinn](https://github.com/STAT545-UBC-students/hw10-katiezinn)."
"curtis77","Please review the hw10 submission of [bassamjaved](https://github.com/STAT545-UBC-students/hw10-bassamjaved) and [liuyadong08](https://github.com/STAT545-UBC-students/hw10-liuyadong08)."
"divita95","Please review the hw10 submission of [aleurcelay](https://github.com/STAT545-UBC-students/hw10-aleurcelay) and [YuHsiangLo](https://github.com/STAT545-UBC-students/hw10-YuHsiangLo)."
"ecool50","Please review the hw10 submission of [MalcolmNSB](https://github.com/STAT545-UBC-students/hw10-MalcolmNSB) and [iyaniwura](https://github.com/STAT545-UBC-students/hw10-iyaniwura)."
"emreerhan","Please review the hw10 submission of [liming17](https://github.com/STAT545-UBC-students/hw10-liming17) and [yihaoz](https://github.com/STAT545-UBC-students/hw10-yihaoz)."
"figalit","Please review the hw10 submission of [schignel](https://github.com/STAT545-UBC-students/hw10-schignel) and [j-schaub](https://github.com/STAT545-UBC-students/hw10-j-schaub)."
"fjbasedow","Please review the hw10 submission of [zjbthomas](https://github.com/STAT545-UBC-students/hw10-zjbthomas) and [QinxinLin](https://github.com/STAT545-UBC-students/hw10-QinxinLin)."
"funkedavid82","Please review the hw10 submission of [ecool50](https://github.com/STAT545-UBC-students/hw10-ecool50) and [MalcolmNSB](https://github.com/STAT545-UBC-students/hw10-MalcolmNSB)."
"g-ziyan","Please review the hw10 submission of [figalit](https://github.com/STAT545-UBC-students/hw10-figalit) and [schignel](https://github.com/STAT545-UBC-students/hw10-schignel)."
"garyzhubc","Please review the hw10 submission of [fjbasedow](https://github.com/STAT545-UBC-students/hw10-fjbasedow) and [zjbthomas](https://github.com/STAT545-UBC-students/hw10-zjbthomas)."
"Irissq28","Please review the hw10 submission of [JasmineLib](https://github.com/STAT545-UBC-students/hw10-JasmineLib) and [curtis77](https://github.com/STAT545-UBC-students/hw10-curtis77)."
"iyaniwura","Please review the hw10 submission of [meiqiyu](https://github.com/STAT545-UBC-students/hw10-meiqiyu) and [Mengsuper](https://github.com/STAT545-UBC-students/hw10-Mengsuper)."
"j-schaub","Please review the hw10 submission of [acheng-ubc](https://github.com/STAT545-UBC-students/hw10-acheng-ubc) and [Bill1111](https://github.com/STAT545-UBC-students/hw10-Bill1111)."
"janehuang1647","Please review the hw10 submission of [Kate96](https://github.com/STAT545-UBC-students/hw10-Kate96) and [rning-wu](https://github.com/STAT545-UBC-students/hw10-rning-wu)."
"JasmineLib","Please review the hw10 submission of [curtis77](https://github.com/STAT545-UBC-students/hw10-curtis77) and [bassamjaved](https://github.com/STAT545-UBC-students/hw10-bassamjaved)."
"Kate96","Please review the hw10 submission of [rning-wu](https://github.com/STAT545-UBC-students/hw10-rning-wu) and [tanvimittal71](https://github.com/STAT545-UBC-students/hw10-tanvimittal71)."
"katiezinn","Please review the hw10 submission of [CeciliaLe07](https://github.com/STAT545-UBC-students/hw10-CeciliaLe07) and [Sukeysun](https://github.com/STAT545-UBC-students/hw10-Sukeysun)."
"lh563","Please review the hw10 submission of [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw10-ShreeramSenthi) and [funkedavid82](https://github.com/STAT545-UBC-students/hw10-funkedavid82)."
"liao02x","Please review the hw10 submission of [alvin-q](https://github.com/STAT545-UBC-students/hw10-alvin-q) and [yavyx](https://github.com/STAT545-UBC-students/hw10-yavyx)."
